"","A1","A2","A3","A4","A5","C1","C2","C3","C4","C5","E1","E2","E3","E4","E5","N1","N2","N3","N4","N5","O1","O2","O3","O4","O5"
"61668",6,6,6,1,6,5,2,5,6,6,6,6,6,6,6,5,4,6,5,6,6,3,5,5,4
"61669",5,4,4,4,3,6,5,6,6,6,5,3,4,2,6,4,4,2,4,5,5,5,6,6,6
"61670",5,5,6,6,6,4,5,4,4,3,6,5,6,6,6,3,3,2,5,4,6,6,6,4,4
"61672",5,5,1,3,5,5,4,5,5,2,6,5,6,5,4,6,3,5,5,2,2,3,5,4,6
"61673",3,5,6,5,5,5,5,3,2,3,6,5,6,5,5,2,3,3,4,6,4,3,6,5,6
"61678",6,6,5,6,3,5,5,5,3,4,5,2,1,5,3,2,2,2,1,1,4,4,3,6,2
"61679",5,5,6,6,6,5,5,5,5,3,6,5,4,5,5,4,5,3,6,5,5,5,5,5,5
"61682",6,5,6,5,4,1,5,6,3,1,1,1,2,1,1,6,5,6,4,1,6,1,5,6,6
"61683",5,4,5,6,5,4,6,4,5,3,5,5,3,5,3,5,5,3,6,4,5,2,5,4,5
"61684",3,4,4,4,4,4,3,3,4,3,5,4,4,2,3,NA,5,6,5,5,4,4,5,5,4
"61685",2,3,5,4,2,2,2,4,4,3,4,3,3,2,3,2,4,3,3,4,4,2,4,4,4
"61686",6,6,4,6,4,5,6,3,6,2,1,1,3,2,2,5,5,5,3,6,5,2,4,5,4
"61687",6,4,4,2,3,6,5,6,4,3,4,3,3,3,5,2,1,2,2,3,5,2,4,5,5
"61688",6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6
"61691",6,5,4,3,5,6,5,5,5,5,4,5,3,6,5,6,5,6,5,6,5,6,6,6,6
"61692",6,5,5,6,5,4,4,4,4,3,3,4,4,4,4,5,5,4,4,4,4,4,2,5,5
"61693",2,4,3,6,4,5,2,5,5,3,1,3,2,4,4,6,5,6,5,NA,3,4,2,2,2
"61696",6,5,4,4,5,4,5,4,4,4,4,4,2,5,4,5,4,6,4,5,4,4,5,4,4
"61698",2,6,4,3,5,5,3,3,3,2,1,3,4,4,3,5,5,4,3,2,3,2,4,4,3
"61700",5,6,6,6,6,5,4,5,4,3,5,5,4,5,5,5,5,5,5,4,5,5,5,5,6
"61701",6,6,6,6,6,5,2,1,5,6,1,2,6,6,5,5,6,3,1,2,6,2,6,6,6
"61702",2,5,3,4,3,4,4,3,3,2,3,3,5,2,4,3,2,4,2,5,3,2,4,4,5
"61703",5,6,4,5,5,3,2,3,3,1,5,3,2,4,4,4,3,5,5,3,5,3,5,3,5
"61713",6,5,3,2,3,3,6,3,6,4,2,2,5,5,3,2,2,2,2,4,3,4,2,5,6
"61715",6,6,6,6,6,5,5,4,6,5,6,6,6,6,6,3,3,6,6,6,6,4,6,6,6
"61716",6,6,6,6,4,4,3,1,3,5,5,5,5,4,4,1,1,1,4,4,3,6,4,6,5
"61723",6,5,6,5,4,6,6,6,1,5,3,3,4,3,6,6,6,6,1,2,5,1,3,6,4
"61724",4,6,4,4,4,5,5,3,5,2,6,6,4,6,5,5,5,6,6,6,5,6,5,5,1
"61725",3,3,5,6,3,5,6,2,2,5,4,2,2,6,2,1,2,2,2,1,2,2,2,6,3
"61728",6,6,6,6,6,6,5,5,5,5,6,5,5,6,5,5,4,5,4,5,5,4,5,5,5
"61730",6,4,3,5,5,5,5,4,3,2,5,2,4,5,5,5,3,3,2,4,5,6,6,6,6
"61731",6,4,2,2,2,5,5,5,2,6,3,2,4,3,4,4,3,2,2,2,4,3,6,6,4
"61732",4,4,5,2,4,5,4,5,5,3,2,2,5,4,5,2,2,2,4,5,5,5,5,5,2
"61740",6,6,5,4,4,6,6,6,6,3,3,3,1,2,5,4,3,3,3,3,4,3,4,2,6
"61742",4,3,5,4,5,6,4,4,5,5,5,6,4,6,4,6,5,6,3,6,4,4,5,5,5
"61748",5,3,4,4,5,5,3,2,3,1,3,3,3,5,2,3,3,1,2,5,2,3,3,5,2
"61749",5,4,4,5,3,5,5,4,4,3,1,2,4,3,4,3,2,3,2,2,6,1,4,6,5
"61754",6,4,6,6,6,NA,6,6,5,4,6,6,5,6,6,3,3,4,6,4,5,4,3,6,4
"61756",3,5,3,5,4,6,5,5,5,5,6,6,5,6,6,4,2,4,6,4,4,6,4,6,6
"61757",5,6,6,6,6,4,6,6,6,3,4,1,5,4,4,3,4,1,1,3,4,6,6,6,4
"61759",5,NA,4,6,4,5,4,5,5,6,2,2,3,3,3,6,6,6,NA,6,2,6,4,6,6
"61761",6,5,4,2,5,1,2,2,5,1,5,2,2,2,1,5,2,2,3,5,5,3,4,6,6
"61762",3,3,2,2,2,4,2,2,3,2,3,4,4,2,4,6,5,6,2,5,6,6,6,6,6
"61763",5,3,4,5,6,5,5,4,5,5,6,5,4,4,4,6,5,5,3,5,3,5,5,5,5
"61764",6,6,6,3,6,6,5,6,6,3,3,3,2,3,3,6,5,5,2,5,6,5,3,5,5
"61771",3,5,6,6,4,4,6,6,6,5,3,4,5,5,5,5,4,4,6,4,4,6,4,6,5
"61772",5,4,6,2,5,2,4,4,6,6,6,6,4,4,NA,6,4,5,5,6,6,5,4,5,4
"61773",3,4,4,5,3,5,4,6,5,3,5,5,4,6,4,2,2,3,4,2,4,6,4,2,4
"61775",6,5,5,5,4,5,5,5,6,5,3,3,3,2,5,6,5,3,3,3,5,6,5,4,5
"61776",4,5,5,5,4,5,5,5,6,6,5,4,5,5,4,5,6,5,5,4,5,6,5,4,5
"61777",5,5,5,6,5,5,4,6,4,5,6,6,4,6,5,5,5,4,4,5,5,6,4,3,3
"61778",5,6,6,6,6,5,4,5,6,5,6,6,6,6,5,5,3,5,6,6,6,4,5,4,6
"61780",2,6,6,6,5,5,5,6,4,3,6,5,5,6,6,3,4,3,3,1,5,3,5,6,4
"61782",6,2,2,4,2,2,4,2,2,6,5,5,4,2,2,3,5,5,5,3,2,4,4,2,3
"61783",5,5,5,5,5,4,2,3,2,3,3,3,4,5,4,5,4,3,2,5,4,3,3,5,6
"61784",6,5,6,5,3,6,5,4,3,4,3,2,4,4,5,4,4,4,3,4,6,5,5,6,5
"61788",6,6,3,3,1,6,6,5,6,1,3,2,3,5,1,3,3,1,1,2,6,6,6,6,6
"61789",6,4,6,2,6,3,3,4,3,2,1,3,5,6,2,4,2,3,1,3,6,5,5,6,6
"61793",6,6,6,5,6,5,6,5,6,6,4,5,5,5,5,4,4,5,5,5,4,2,4,5,5
"61794",6,6,5,2,6,4,5,5,5,4,4,3,4,5,3,5,3,2,1,1,6,2,4,6,6
"61797",3,4,4,6,5,2,5,4,3,4,2,4,3,3,5,5,5,3,5,3,3,3,3,4,3
"61798",6,5,5,5,5,4,4,5,5,5,2,5,2,5,5,4,4,5,5,5,4,2,5,4,3
"61801",6,6,5,4,6,4,5,4,3,2,5,5,4,5,5,6,4,5,5,5,5,6,4,5,5
"61808",6,6,4,6,4,4,4,5,5,3,6,5,4,5,5,5,4,5,5,5,4,5,3,4,5
"61812",4,4,5,5,4,3,3,NA,4,4,3,3,4,3,4,4,4,3,3,4,4,5,4,4,4
"61813",6,5,5,5,5,5,2,4,6,5,3,6,5,5,5,6,6,6,3,6,6,6,5,5,5
"61816",6,5,6,2,5,5,4,5,4,3,4,2,4,4,4,4,4,3,4,3,6,6,5,6,5
"61818",5,4,5,4,5,2,2,3,3,3,6,2,2,6,2,5,4,1,3,1,3,5,2,2,2
"61819",6,6,6,3,6,6,6,5,6,6,6,4,5,6,6,5,2,3,1,6,6,5,5,6,6
"61821",5,6,4,6,4,4,5,6,4,6,5,3,2,5,4,3,2,5,4,1,3,3,3,5,1
"61822",5,3,3,4,3,5,6,4,6,3,2,1,2,2,4,4,3,1,1,1,5,5,3,5,3
"61825",4,1,2,2,2,2,1,2,1,1,1,1,1,1,1,4,2,3,3,3,5,6,3,6,6
"61826",6,4,5,5,6,6,4,4,6,6,2,6,2,3,5,6,5,6,6,6,5,6,5,6,6
"61829",3,3,2,6,5,4,5,6,5,1,2,2,1,5,5,3,2,1,1,1,5,6,2,6,3
"61831",5,6,2,3,4,4,2,5,4,2,2,4,2,3,5,6,6,6,5,5,2,6,5,3,4
"61834",5,5,5,3,5,4,3,4,4,2,4,2,4,5,5,NA,2,1,3,3,6,5,5,6,6
"61835",4,4,4,2,4,4,3,4,3,5,5,4,4,3,5,3,3,5,5,3,4,5,5,4,5
"61838",5,5,5,5,2,6,6,4,6,2,4,5,2,2,5,3,2,2,2,3,6,5,5,6,6
"61839",6,4,5,2,6,2,1,2,3,1,1,2,3,3,3,5,6,4,4,6,4,4,4,5,1
"61840",6,6,4,1,1,6,4,5,5,6,1,1,3,1,1,3,4,1,1,2,2,4,3,6,4
"61841",6,6,5,6,6,5,3,4,1,2,5,3,3,4,5,3,2,3,4,3,5,3,4,6,5
"61847",6,5,5,5,2,6,NA,6,6,6,4,5,1,2,6,2,NA,2,3,4,4,6,6,6,6
"61848",1,1,1,1,2,3,6,3,4,3,6,3,5,2,6,1,1,4,5,2,6,6,6,5,5
"61851",5,6,5,6,5,5,4,4,3,1,6,4,4,6,4,2,1,5,3,1,6,2,6,6,5
"61852",4,6,5,6,4,3,5,2,4,3,5,2,6,6,5,1,1,1,3,1,5,3,4,6,3
"61854",6,6,6,6,6,4,4,5,4,3,4,5,4,5,4,5,4,5,4,3,4,6,5,6,6
"61856",NA,4,5,6,4,5,5,5,6,2,4,3,3,2,3,6,5,6,3,5,3,1,1,3,4
"61857",6,6,6,5,4,5,3,5,6,5,5,3,4,5,4,6,6,6,5,5,4,5,4,6,5
"61861",6,6,6,6,6,6,6,5,6,1,2,2,2,5,5,6,2,2,2,1,6,6,6,6,5
"61862",6,6,5,4,5,5,4,5,5,5,6,6,6,6,5,5,5,5,5,5,6,6,5,4,6
"61865",3,2,1,2,2,4,1,2,1,1,2,2,2,2,1,5,3,5,3,5,2,1,3,5,2
"61868",6,5,4,3,4,5,6,4,6,3,4,5,4,5,6,6,5,5,3,6,4,6,6,5,6
"61873",2,2,2,2,1,2,2,2,4,2,2,1,2,1,2,3,3,5,5,5,5,6,5,5,5
"61874",5,5,4,3,4,5,4,5,5,4,6,5,4,5,5,3,3,4,5,4,6,6,5,5,5
"61880",6,5,6,6,6,6,5,4,5,1,6,5,5,6,6,6,5,5,5,3,6,6,6,6,6
"61886",3,6,5,5,6,4,6,5,2,5,6,4,6,6,6,3,4,6,4,3,6,4,6,5,4
"61888",5,5,4,4,4,4,5,5,2,2,2,1,3,2,2,4,3,5,2,1,2,3,4,6,3
"61889",1,5,5,2,5,5,5,6,6,6,6,5,5,5,6,2,3,3,4,6,6,5,6,5,6
"61890",5,5,5,1,6,5,5,5,4,1,5,3,6,6,5,3,3,4,4,6,5,4,6,4,5
"61891",5,4,5,5,5,5,5,4,1,1,2,2,5,5,3,6,5,5,3,5,5,5,5,6,6
"61895",5,5,5,5,2,5,5,5,5,1,2,2,3,2,2,5,4,5,2,2,5,6,6,6,6
"61896",5,5,6,5,6,5,4,5,4,5,5,5,4,5,5,3,3,5,5,5,4,4,5,4,5
"61900",5,5,4,4,5,5,4,5,4,2,5,4,5,4,5,5,4,4,3,5,5,5,6,6,5
"61901",5,5,5,3,2,2,3,4,2,1,5,2,2,2,2,5,3,3,3,5,5,5,4,6,5
"61907",3,5,4,NA,3,5,3,4,5,2,6,3,3,5,4,3,2,2,3,2,4,3,3,6,4
"61908",5,4,4,4,4,4,4,4,3,2,3,4,4,6,5,3,2,4,2,3,4,5,4,6,4
"61909",4,5,4,5,4,4,4,5,4,2,5,3,5,5,4,2,2,2,2,2,6,4,4,5,5
"61911",3,3,3,3,3,6,5,5,5,4,2,NA,3,2,3,4,4,4,3,3,5,6,5,6,1
"61913",5,4,3,3,3,4,4,4,4,1,5,2,3,2,5,3,1,3,3,2,3,2,3,5,4
"61915",6,6,6,6,6,6,6,3,1,2,1,2,5,6,6,1,1,3,2,1,5,1,6,6,5
"61918",6,6,6,5,6,6,1,3,3,2,4,3,4,6,3,2,2,5,2,5,4,3,6,6,6
"61921",6,6,6,4,6,1,1,3,6,6,6,6,6,6,6,3,3,6,NA,5,4,6,6,2,5
"61922",6,6,5,6,5,6,6,4,6,6,6,5,5,4,5,3,1,5,6,5,6,6,6,5,4
"61923",6,6,5,6,5,5,5,4,6,3,5,4,6,6,5,3,3,2,3,2,5,5,5,6,3
"61925",4,6,6,4,6,2,3,2,2,2,6,6,6,6,6,3,3,3,4,4,6,4,4,5,5
"61926",5,3,1,3,1,3,3,3,5,1,1,1,1,1,3,2,3,4,1,3,2,5,1,5,4
"61928",5,4,5,5,5,4,4,6,3,5,6,5,4,6,5,1,1,3,3,1,4,3,3,4,2
"61932",5,5,3,5,1,6,5,4,5,5,6,6,5,6,2,4,2,3,3,2,4,5,5,4,4
"61935",6,6,5,6,6,3,2,4,5,4,4,5,5,5,3,5,5,5,5,6,4,3,4,5,4
"61936",2,4,4,5,6,3,5,3,4,1,3,3,6,5,5,5,2,5,6,5,6,5,5,5,5
"61939",5,5,4,3,3,6,4,4,5,3,1,3,3,3,4,6,6,6,3,4,6,6,4,6,6
"61944",6,6,6,3,6,6,6,6,6,2,6,3,5,5,6,4,1,3,3,1,5,6,4,6,6
"61945",5,6,4,5,4,4,4,5,4,2,4,4,4,4,4,4,4,4,3,4,4,3,5,5,5
"61949",5,6,3,5,2,4,4,6,3,2,5,6,5,4,6,6,6,6,6,6,6,5,5,2,6
"61952",6,5,5,6,5,5,5,5,5,5,5,5,1,5,3,2,5,3,3,5,5,5,5,5,6
"61953",6,5,5,3,3,5,2,2,2,1,5,4,2,3,4,2,2,2,4,5,5,5,5,6,5
"61954",6,6,6,5,6,6,5,3,6,6,6,5,5,5,5,6,6,6,5,3,6,6,6,6,6
"61957",5,5,5,6,5,4,4,2,2,3,3,4,5,5,4,4,3,5,6,6,6,2,4,6,5
"61958",3,4,3,1,4,5,4,4,6,6,6,6,4,6,6,4,3,5,5,6,4,6,6,4,5
"61965",5,6,5,5,3,5,5,6,5,6,5,2,3,4,5,6,4,5,6,4,6,5,4,6,2
"61967",4,5,6,5,5,4,5,4,5,3,5,5,5,5,5,4,4,2,3,4,5,5,6,5,4
"61968",6,6,6,6,5,5,3,4,3,3,6,5,5,6,5,5,5,5,5,4,5,3,5,5,5
"61969",5,5,5,5,4,3,1,4,3,2,2,2,5,3,5,5,3,2,3,2,5,3,5,5,6
"61971",5,4,4,1,3,3,5,4,3,2,3,3,4,5,2,6,5,6,3,3,5,6,6,6,6
"61972",5,4,5,5,4,5,6,5,5,6,4,3,4,2,6,1,1,5,4,3,5,2,4,5,2
"61973",6,5,5,6,5,5,4,5,6,6,3,5,4,4,4,4,3,5,NA,6,5,6,4,4,3
"61974",6,6,6,2,5,5,3,2,4,3,5,5,3,5,5,5,3,5,4,2,4,5,4,6,5
"61975",5,6,4,5,4,2,3,2,3,2,5,4,4,5,4,3,4,5,3,5,5,2,4,4,5
"61976",6,5,2,3,4,2,5,6,2,5,2,5,1,3,4,6,5,3,6,6,5,1,2,2,1
"61978",6,6,6,6,6,5,5,5,5,5,5,5,5,6,4,5,5,3,4,3,5,1,5,6,3
"61979",5,4,5,5,5,1,1,3,3,2,6,5,5,5,2,6,5,6,5,6,6,6,5,5,1
"61983",5,4,5,6,5,4,6,4,6,5,6,6,6,6,5,6,6,5,5,6,5,6,5,5,5
"61986",5,6,5,4,4,4,2,4,2,2,5,NA,4,3,5,3,3,5,3,6,6,3,5,5,5
"61987",6,5,5,5,5,5,6,4,5,5,3,6,5,4,6,3,2,2,3,5,5,6,5,6,6
"61989",6,6,6,1,3,6,6,5,6,3,2,1,1,4,1,1,1,1,2,1,5,6,2,5,6
"61990",4,4,4,3,4,3,3,5,4,1,5,2,5,3,4,2,3,5,5,3,5,3,4,4,2
"61992",3,4,5,6,4,5,6,6,3,5,5,5,5,5,5,3,5,3,2,3,4,5,5,3,4
"61993",6,5,5,5,5,4,4,4,3,2,5,5,5,5,5,4,4,4,4,3,6,5,5,4,2
"61994",5,6,5,5,4,5,4,5,4,3,3,1,5,6,6,4,4,5,5,5,5,1,6,5,6
"61999",5,6,6,6,5,5,5,5,5,6,5,6,5,5,6,6,5,5,5,4,5,6,6,6,4
"62001",6,2,2,4,3,6,4,6,2,1,3,2,1,6,3,3,1,1,3,2,3,3,3,6,3
"62003",6,6,5,6,6,4,5,3,4,3,1,4,4,5,5,6,5,5,5,4,6,6,5,6,6
"62004",1,5,6,6,5,6,6,6,6,4,1,1,4,4,5,3,2,3,3,3,6,6,3,6,4
"62005",3,3,4,3,4,4,3,5,3,3,5,3,4,3,4,2,2,4,5,4,5,3,4,4,3
"62007",4,4,2,2,3,3,2,2,3,6,5,5,5,4,5,5,4,6,6,6,6,4,6,5,6
"62009",3,3,4,3,3,5,2,4,3,2,4,2,4,1,4,2,2,2,3,3,6,6,6,6,6
"62011",6,6,5,6,6,5,4,5,5,3,4,3,5,6,4,5,4,5,6,6,5,2,3,5,4
"62013",4,5,4,4,4,3,3,4,3,3,2,3,3,2,4,5,4,5,4,5,5,3,4,3,3
"62014",3,2,2,3,3,4,3,3,3,2,3,2,2,2,5,2,3,3,2,3,5,5,5,6,5
"62015",4,4,4,3,3,5,5,4,4,5,4,3,4,2,3,3,3,2,3,3,6,6,6,6,6
"62022",6,6,5,6,3,3,5,1,6,1,6,4,3,3,6,1,1,1,5,1,3,1,1,1,1
"62023",6,5,5,4,5,4,4,4,3,3,3,6,5,5,4,6,5,6,6,5,6,3,6,6,6
"62024",5,2,1,6,3,6,6,6,6,6,5,5,5,6,6,6,4,6,6,6,6,6,6,6,5
"62025",5,4,4,5,5,5,5,5,6,5,1,2,2,5,5,2,2,2,1,4,2,5,3,5,5
"62026",6,6,6,2,5,5,5,5,6,5,5,5,6,6,6,1,1,3,5,3,6,6,5,5,6
"62029",5,3,4,4,4,3,1,1,4,5,4,4,3,3,4,5,4,5,4,5,6,5,4,5,5
"62031",6,6,4,3,6,4,4,5,5,2,5,2,4,5,6,3,2,2,5,1,5,5,6,6,6
"62032",5,3,4,5,3,4,5,4,5,2,2,4,3,4,4,5,5,3,3,4,4,4,4,5,4
"62033",2,4,3,5,4,4,4,4,3,2,6,2,5,6,4,6,6,6,3,2,5,3,4,4,2
"62034",6,5,4,4,4,5,5,5,5,3,4,3,2,4,4,3,3,3,4,3,4,5,3,5,5
"62038",6,6,6,5,3,1,3,2,5,2,1,1,5,1,2,1,3,1,1,4,3,6,3,3,3
"62039",5,5,6,3,5,5,3,3,4,3,6,5,6,5,6,2,3,6,5,5,4,3,5,4,5
"62041",5,4,5,6,5,2,4,4,4,5,3,3,3,5,2,5,3,4,5,4,3,6,3,5,4
"62042",5,6,5,5,5,2,4,3,3,1,6,4,5,6,6,6,6,5,6,6,6,4,4,5,4
"62043",6,5,6,4,5,3,2,5,5,6,6,6,2,5,4,6,5,5,5,3,5,6,5,5,6
"62044",5,5,5,5,5,5,6,5,6,5,5,4,3,5,4,6,4,6,5,2,4,4,4,5,2
"62047",6,5,2,2,2,2,2,6,5,4,2,1,4,1,5,4,2,2,2,3,2,2,4,6,6
"62048",4,3,5,5,5,4,4,4,4,3,4,5,3,5,4,4,2,4,4,3,4,3,3,2,4
"62051",5,4,5,6,5,5,6,4,6,5,5,6,4,6,5,6,5,6,6,6,5,4,4,3,5
"62052",6,6,5,5,5,5,4,4,4,3,4,5,4,5,4,6,5,3,5,6,6,5,4,5,4
"62054",5,6,4,6,2,4,5,5,6,6,1,3,5,4,6,6,5,6,2,3,5,5,1,5,6
"62055",5,5,5,6,4,2,4,2,5,3,2,3,3,3,5,3,3,3,4,5,3,5,3,4,4
"62056",6,4,NA,6,6,6,4,4,6,6,1,1,6,1,6,6,6,6,6,6,6,6,4,6,6
"62059",6,5,6,5,5,3,3,3,3,3,6,6,5,5,5,4,3,3,5,4,4,4,5,4,4
"62060",5,3,2,1,4,1,2,2,6,2,6,2,2,4,5,6,2,6,5,6,4,6,2,5,6
"62063",5,5,5,5,5,6,2,5,5,5,5,5,4,6,5,5,5,5,6,5,5,6,5,6,6
"62064",6,6,5,6,6,4,5,4,2,1,4,3,6,5,5,2,2,1,5,NA,6,6,1,5,5
"62067",2,4,4,4,5,5,4,NA,3,3,3,3,4,5,3,5,5,5,5,6,5,4,4,5,3
"62070",4,4,3,3,3,3,3,3,3,1,2,2,2,2,4,1,1,1,1,4,3,3,2,4,3
"62073",6,6,6,4,6,5,5,5,6,4,4,6,6,2,NA,5,5,6,6,5,6,6,6,6,6
"62075",5,4,4,1,4,5,4,4,5,5,3,2,3,3,5,3,2,6,5,4,5,6,5,6,5
"62077",6,6,6,6,6,6,5,4,6,5,6,6,5,6,6,4,3,4,5,5,6,1,5,5,6
"62079",5,4,4,4,3,5,1,3,5,6,6,6,3,6,5,2,1,1,6,6,4,4,5,2,4
"62082",2,5,4,5,4,6,6,6,6,1,5,5,4,5,5,6,6,3,4,3,6,3,4,5,5
"62084",2,3,1,2,3,6,2,2,3,2,2,3,3,4,2,6,3,3,3,5,6,5,6,5,5
"62090",5,5,5,5,4,5,5,5,3,4,5,3,5,5,4,4,3,3,4,3,NA,2,3,4,4
"62092",6,5,NA,5,6,6,6,1,6,6,1,6,1,5,1,6,6,6,1,6,6,1,6,1,6
"62094",6,5,5,6,6,5,5,5,4,4,6,6,5,5,5,6,6,6,6,5,5,5,5,5,2
"62099",6,5,6,6,4,5,3,4,4,2,5,5,3,6,4,5,5,5,5,3,5,6,5,5,4
"62101",6,5,6,5,6,2,5,5,5,5,6,4,4,6,6,4,2,5,5,4,5,6,5,6,6
"62102",6,6,6,6,4,1,5,6,4,5,3,5,6,4,2,5,2,2,3,3,5,2,5,6,6
"62103",4,5,5,3,4,4,3,4,4,4,4,3,3,4,3,4,3,4,4,4,3,5,4,4,4
"62105",5,5,4,3,2,6,5,6,5,3,5,3,2,2,5,3,2,5,5,6,5,6,NA,5,6
"62106",6,5,6,5,5,5,3,4,6,2,5,5,4,5,5,5,5,5,5,6,5,4,4,5,5
"62107",5,6,6,5,5,5,5,4,5,6,5,4,5,4,6,5,4,5,5,6,6,6,5,6,5
"62111",2,4,5,6,4,1,4,6,5,5,4,4,5,4,5,5,5,6,4,5,5,1,4,6,4
"62115",5,6,4,3,5,5,3,3,5,3,3,3,3,3,3,5,4,5,5,3,6,3,4,6,4
"62118",2,4,5,6,2,5,6,4,6,6,6,6,3,6,3,5,3,5,4,6,6,5,6,3,5
"62119",4,5,2,4,5,5,4,6,4,4,4,2,2,3,2,6,4,4,5,3,5,5,5,5,5
"62120",4,6,5,6,6,6,5,5,6,6,6,5,4,6,6,5,5,6,5,4,5,5,4,6,6
"62121",5,5,4,4,4,3,3,4,2,3,5,5,4,4,4,2,2,3,3,3,3,2,4,3,3
"62124",6,NA,4,6,5,5,5,2,4,4,5,5,4,2,4,5,4,4,3,4,4,4,5,6,5
"62128",6,6,6,6,5,4,3,4,2,1,5,5,4,5,3,6,5,3,3,3,4,4,5,5,4
"62130",4,4,4,6,3,5,5,5,5,3,1,3,3,3,4,6,4,5,5,6,6,5,3,5,5
"62132",4,5,6,5,6,5,6,5,5,6,4,6,4,6,5,4,2,4,4,6,4,6,4,4,4
"62133",6,5,NA,6,5,5,5,6,6,6,6,5,4,6,6,3,3,4,5,5,6,6,5,6,5
"62136",5,4,4,6,3,4,5,4,5,3,1,3,2,3,4,6,6,6,6,6,6,5,NA,5,5
"62137",3,5,5,5,5,5,4,5,5,3,5,5,4,5,5,5,4,5,6,6,5,3,4,4,6
"62142",6,6,4,6,6,5,4,5,6,5,2,6,5,4,6,6,5,5,6,6,4,5,5,5,4
"62144",3,3,4,2,5,5,5,5,5,5,5,5,3,3,6,3,3,4,4,5,6,6,4,6,6
"62147",4,5,5,5,5,4,3,3,4,2,4,3,3,5,5,3,2,5,5,5,5,3,4,5,2
"62151",2,2,1,1,2,2,1,2,2,1,5,2,2,4,2,4,1,3,2,4,5,1,2,6,3
"62156",4,3,3,4,4,5,2,5,5,4,3,5,3,5,4,5,5,5,4,5,2,4,2,4,2
"62160",3,2,4,1,4,5,4,4,6,2,5,5,4,3,5,5,3,6,5,6,4,3,NA,4,5
"62161",4,5,4,5,5,4,2,4,3,3,4,3,6,6,6,4,3,5,5,6,5,6,3,5,4
"62162",4,5,6,6,5,4,4,6,4,4,4,3,4,5,4,6,6,5,4,5,5,3,4,5,4
"62163",3,5,5,6,4,6,5,5,5,5,2,2,4,4,4,5,3,5,1,5,5,5,4,4,5
"62164",1,1,1,4,6,5,6,5,6,6,6,6,5,6,6,6,6,6,6,6,5,6,6,1,6
"62165",4,5,5,6,6,6,6,6,6,6,6,5,4,4,6,6,6,6,5,5,3,5,4,2,6
"62166",2,5,5,6,6,5,4,5,5,5,3,6,5,6,5,6,6,5,2,6,6,2,4,4,3
